what,kind,bundleId,bundleVersion,description,time
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507126605780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126638470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126652845
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507126666477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507126666724
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507126668774
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507126673122
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507126674629
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507126679531
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507126680866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126684932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126693844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126709038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126723362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126766780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126786906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126787685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126788057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126788595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126789678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126790363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126793466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1507126794571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126820011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126862838
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507126874886
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507126875095
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507126876781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126879992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126883548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126887760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126894208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126900618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126943610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126983106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507126991778
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1507127011187
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1507127014283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1507127087412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507127094557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507127118793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507127209422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507127216860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1507127231366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507128305863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507128311629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507128331391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507128338333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507128352241
